"CAS","area","temperature","amount","duration"
"1000146-59-1",0.141154161534122,25,20,0
"1000441-73-7",0.0361888775123066,25,20,0
"1000441-73-7",0.0925147372641634,25,20,0
"005973-71-7",0.112997287681971,25,20,0
"1000332-01-7",0.0187710282647609,25,20,0
"1000454-23-3",0.0295428452313642,25,20,0
"001014-60-4",0.0266073185836143,25,20,0
"000112-05-0",0.0685282365407675,25,20,0
"000540-97-6",2.9503279415867,25,20,0
"1000347-25-6",0.0241797978506078,25,20,0
"053044-27-2",0.0311450863579078,25,20,0
"053044-27-2",0.0772681661476536,25,20,0
"001724-39-6",0.0631757771340626,25,20,0
"065354-33-8",0.0147218809337029,25,20,0
"330982-46-2",0.0263405499617997,25,20,0
"000112-52-7",0.0677699046508639,25,20,0
"327175-14-4",0.0169972731103412,25,20,0
"055056-35-4",0.0117776497198078,25,20,0
"016032-35-2",0.0552991484307452,25,20,0
"000096-76-4",0.845035811948114,25,20,0
"006846-50-0",0.239094860676697,25,20,0
"074663-85-7",0.0443960504985771,25,20,0
"000294-62-2",0.0768476147921321,25,20,0
"001120-36-1",0.0357855246447704,25,20,0
"041446-57-5",0.0462191769609055,25,20,0
"007367-38-6",0.0398031868476075,25,20,0
"006508-77-6",0.0279111386837623,25,20,0
"000556-68-3",0.350671179047672,25,20,0
"001120-36-1",0.0591859757383111,25,20,0
"043080-23-5",0.258604252990303,25,20,0
"000294-62-2",0.119921977597136,25,20,0
"000112-95-8",0.0747109628676343,25,20,0
"072439-84-0",0.0554885548337298,25,20,0
"019728-43-9",0.0157490259342667,25,20,0
"064604-68-8",0.0240945984245367,25,20,0
"055282-12-7",0.0185353544596603,25,20,0
"156747-45-4",0.0210907053088771,25,20,0
"000556-68-3",0.0560497484355602,25,20,0
"000556-68-3",0.0139810015440351,25,20,0
"000629-92-5",0.009505826105518,25,20,0
"019095-24-0",0.00571219031678289,25,20,0
"019095-24-0",0.0211493759433225,25,20,0
"019095-24-0",0.00609890228420083,25,20,0
"019095-24-0",0.00553394806197884,25,20,0
"000556-71-8",0.129702713107326,25,20,0
"019095-24-0",0.0216701877927437,25,20,0
"019095-24-0",0.0418797679725717,25,20,0
"019095-24-0",0.0334667583275035,25,20,0
"019095-24-0",0.043454042969877,25,20,0
"000556-71-8",0.0531212597857755,25,20,0
"000112-95-8",0.0621629931187834,25,20,0
"007773-83-3",0.0301358275370319,25,20,0
"019095-24-0",0.113850248428318,25,20,0
"019095-24-0",0.0527013589494321,25,20,0
"000556-71-8",0.0555623980535772,25,20,0
"000556-71-8",0.131101242604387,25,20,0
"000556-71-8",0.150186762816953,25,20,0
"000556-71-8",0.0682208817176591,25,20,0
"018919-94-3",0.727644081355341,25,20,0
"018919-94-3",0.401782260228017,25,20,0
"018919-94-3",0.300457560320878,25,20,0
"018919-94-3",0.581096428142927,25,20,0
"018919-94-3",0.436468258771672,25,20,0
"018919-94-3",0.313927173250443,25,20,0
"018919-94-3",0.687299730701168,25,20,0
"002385-85-5",1,25,20,0
"018919-94-3",1.56348792721283,25,20,0
"018919-94-3",0.162052876949564,25,20,0
"018919-94-3",0.865644321465067,25,20,0
"018919-94-3",0.649527594831478,25,20,0
"018919-94-3",1.13701693390635,25,20,0
"018919-94-3",0.915760120693735,25,20,0
"018919-94-3",1.39965574401186,25,20,0
"018919-94-3",0.23008253081054,25,20,0
"018919-94-3",0.491076047810756,25,20,0
"018919-94-3",1.11361978497206,25,20,0
"018919-94-3",0.851968989589698,25,20,0
"018919-94-3",1.68171342513848,25,20,0
"018919-94-3",1.0730971053272,25,20,0
